T03,Population growth and indicators of fertility and mortality,,,,,
516,Namibia,2020,Life expectancy at birth for females (years),68.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2025,Population annual rate of increase (percent),2.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
516,Namibia,2025,Total fertility rate (children per women),3.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2025,"Under five mortality rate for both sexes (per 1,000 live births)",35.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
516,Namibia,2025,Life expectancy at birth for both sexes (years),67.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2025,Life expectancy at birth for males (years),63.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
516,Namibia,2025,Life expectancy at birth for females (years),71.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
520,Nauru,2010,Population annual rate of increase (percent),0.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
520,Nauru,2010,Total fertility rate (children per women),4.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
520,Nauru,2010,"Under five mortality rate for both sexes (per 1,000 live births)",36.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
520,Nauru,2010,Life expectancy at birth for both sexes (years),60.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
520,Nauru,2010,Life expectancy at birth for males (years),57.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
520,Nauru,2010,Life expectancy at birth for females (years),63.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
520,Nauru,2015,Population annual rate of increase (percent),1.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
520,Nauru,2015,Total fertility rate (children per women),4.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
520,Nauru,2015,"Under five mortality rate for both sexes (per 1,000 live births)",33.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
520,Nauru,2015,Life expectancy at birth for both sexes (years),60.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
520,Nauru,2015,Life expectancy at birth for males (years),58.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
520,Nauru,2015,Life expectancy at birth for females (years),64.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
520,Nauru,2020,Population annual rate of increase (percent),0.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
520,Nauru,2020,Total fertility rate (children per women),3.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
520,Nauru,2020,"Under five mortality rate for both sexes (per 1,000 live births)",28.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
520,Nauru,2020,Life expectancy at birth for both sexes (years),61.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
520,Nauru,2020,Life expectancy at birth for males (years),59.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
